Case Name,Case URL,Case Number,Last Updated,Enforcement Authority,Location,Sectors,Complaint Types,Topics,Dispositions
An organization's privacy policy and procedures must be implemented effectively - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-007/,#2016-007,"September 1, 2016",OPC,Canada,Financial Institutions,Access,N/A,Well-founded and resolved
"Airline delays granting access to personal information, citing ongoing litigation - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-352/,#2006-352,"January 4, 2007",OPC,Canada,Transportation,Access,Access to personal information,Well-founded
Bank satisfies requirement to provide access to personal information by allowing individual to listen to recordings at a branch location - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/disc/2013/pipeda-2013-003/,#2013-003,"May 21, 2014",OPC,Canada,Financial Institutions; Services,Access; Consent; Openness; Safeguards; Use and Disclosure,Access to personal information,Well-founded and resolved
Due diligence must be exercised and documented when applying exemptions to disclosing personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-018/,#2014-018,"July 29, 2015",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy at work,Not well-founded
Airline agrees to amend privacy policy - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-262/,#2004-262,"February 27, 2004",OPC,Canada,Transportation,Use and Disclosure,N/A,Resolved
Assistant Commissioner considers the nature of certain dispute resolution processes in denial of access complaint - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-330/,#2006-330,"July 19, 2006",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
A bank charged fees to process requests for personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-283/,#2004-283,"November 15, 2004",OPC,Canada,Financial Institutions,Access,Access to personal information,
Bank accused of improperly disclosing overdraft information to another bank - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-211/,#2003-211,"September 4, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
Removed - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-021/,#2009-021,"November 30, 2010",OPC,Canada,Financial Institutions,Consent,Consent,Not well-founded
First Nation develops a privacy policy following allegations of lost doctor’s notes - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2016/er_03_160506/,#2016-03,"March 29, 2018",OPC,Canada,Aboriginal Public Administration,Accountability; Safeguards,Health/medical Information; Privacy at work; Privacy policies,Early resolved
Owner allowed to disclose tenants' rent information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-342/,#2006-342,"October 16, 2006",OPC,Canada,Accommodations,Collection,Consent,Not well-founded
Collection and use of employee’s email deemed acceptable for purposes of investigating breach of agreement - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-019/,#2009-019,"July 21, 2010",OPC,Canada,Telecommunications,Consent; Use and Disclosure,Internet and online; Privacy at work,Not well-founded
No evidence found of improper disclosure to financial advisor - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-339/,#2006-339,"September 7, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Not well-founded
Telecommunications company accused of doing a credit check without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-193/,#2003-193,"July 10, 2003",OPC,Canada,Telecommunications,Collection,Consent,Well-founded
Property management company improves privacy policy - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-301/,#2005-301,"June 8, 2005",OPC,Canada,Accommodations,Accountability,N/A,Resolved
An individual challenged the requirement to provide the medical diagnosis on her doctor's certificate for sick leave - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-233/,#2003-233,"October 3, 2003",OPC,Canada,Transportation,Collection,Health/medical Information; Privacy at work,Well-founded
"Facebook authentication practices reasonable, investigation finds - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-005/,#2011-005,"April 4, 2012",OPC,Canada,Social Networking,Challenging Compliance; Collection,Internet and online; Social Networking,Not well-founded
Bank accused of collecting too much information from credit card applicant - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-223/,#2003-223,"September 16, 2003",OPC,Canada,Financial Institutions,Collection,N/A,Not well-founded
Employer hires private investigator to conduct video surveillance on employee - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-269/,#2004-269,"June 16, 2004",OPC,Canada,Telecommunications,Collection; Use and Disclosure,Consent; Privacy at work; Surveillance and monitoring,Not well-founded
Office building tenant reconsiders placement of video surveillance cameras - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2015/er_03_150121/,#2015-03,"January 19, 2017",OPC,Canada,Accommodations,Collection; Consent,Surveillance and monitoring,Early resolved
Summer camp provided background-check information about former camper without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2012/pipeda-2012-008/,#2012-008,"January 29, 2013",OPC,Canada,Insurance,Consent; Openness,Consent,Well-founded and conditionally resolved
Bank accused of requiring an account applicant to agree to the indiscriminate collection of personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-076/,#2002-76,"October 10, 2002",OPC,Canada,Financial Institutions,Collection,N/A,Resolved
"Bank removed customer's SIN from some, but not all, of its records - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-189/,#2003-189,"July 22, 2003",OPC,Canada,Financial Institutions,Access; Use and Disclosure,Access to personal information; Driver's licences; Social Insurance Number (SIN),Resolved
Bank accused of inappropriately demanding SIN to open child's account - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-132/,#2003-132,"March 6, 2003",OPC,Canada,Financial Institutions,Collection,Consent; Social Insurance Number (SIN),Well-founded
Air traveller offended by airline's information requirements for baggage claim - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-148/,#2003-148,"April 9, 2003",OPC,Canada,Transportation,Collection,Social Insurance Number (SIN),Well-founded
"Investigation into pardon services company finds no evidence of alleged disclosure of youth criminal record, but reveals lack of  privacy policy - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-005/,#2014-005,"August 20, 2014",OPC,Canada,N/A,Use and Disclosure,Access to personal information,Well-founded and resolved
Individual alleged that former employer disclosed personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-143/,#2003-143,"March 6, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Privacy at work,Not well-founded
Bank properly redacted information related to credit card fraud probe - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-010/,#2011-010,"June 5, 2012",OPC,Canada,Social Networking,Consent,Access to personal information,Not well-founded
Alleged disclosure of personal information without consent for secondary marketing purposes by telecommunications company B - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-243/,#2003-243,"November 7, 2003",OPC,Canada,Telecommunications,Consent,Consent,Not well-founded
Telco takes action to improve how its privacy policies are disseminated - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-274/,#2004-274,"July 26, 2004",OPC,Canada,Telecommunications,Access,N/A,Resolved
Applicant for service objects to providing credit card or bank account information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-048/,#2002-48,"April 29, 2002",OPC,Canada,Telecommunications,Collection,N/A,Not well-founded
Bank uses tape-recording of customer's call for unidentified training purpose; connects another customer to the recording - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-180/,#2003-180,"July 10, 2003",OPC,Canada,Financial Institutions,Retention and Disposal; Use and Disclosure,Consent,Well-founded
Investigation into the personal information handling practices of Ganz Inc. - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-011/,#2014-011,"March 25, 2015",OPC,Canada,Services,Identifying Purposes,Advertising and marketing; Consent; Internet and online; Social Networking,Well-founded and conditionally resolved
A telecommunications company requires two pieces of identification from a new subscriber - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-202/,#2003-202,"August 5, 2003",OPC,Canada,Telecommunications,Collection,N/A,Not well-founded
Laptop theft at bank and long delay before informing victims were both avoidable - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2008/pipeda-2008-393/,#2008-393,"September 17, 2008",OPC,Canada,Financial Institutions,Safeguards,Privacy breaches,Well-founded and resolved
"Third-party landlord organization collected, used and disclosed tenants’ personal information without their consent - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-017/,#2009-017,"June 4, 2010",OPC,Canada,Accommodations,Collection; Safeguards; Use and Disclosure,Consent,Well-founded
Employee objects to employer's use of bank account number on pay statement - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-023/,#2001-23,"November 5, 2001",OPC,Canada,Telecommunications,Consent; Safeguards,Consent; Privacy at work,Resolved
Bank released personal information of third parties without their knowledge and consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-129/,#2003-129,"March 4, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Access to personal information; Privacy breaches,Well-founded
Mother and daughter were videotaped during covert surveillance of another individual - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-007/,#2009-007,"June 8, 2009",OPC,Canada,Other,Collection,Consent; Surveillance and monitoring,Well-founded
Retailer shares customer’s in-store behaviour with the customer’s employer - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-004/,#2016-004,"July 27, 2016",OPC,Canada,Sales,Use and Disclosure,Consent,Well-founded and conditionally resolved
Airline accused of improper disclosure of travel information to government department - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-062/,#2002-62,"July 22, 2002",OPC,Canada,Transportation,Use and Disclosure,Consent; Privacy at work,Well-founded
Couple alleges improper disclosure of telephone records to a third party - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-054/,#2002-54,"June 28, 2002",OPC,Canada,Telecommunications,Access; Use and Disclosure,Access to personal information; Privacy breaches,Well-founded
Credit agency accused of improper disclosure of personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-150/,#2003-150,"April 11, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Well-founded
Bank sends customers' pay stubs to wrong party - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-028/,#2002-28,"January 4, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy breaches,Well-founded
Bank obtains meaningful consent to use SINs for credit matching purposes - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-159/,#2003-159,"April 16, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Social Insurance Number (SIN),Not well-founded
Bank implements significant measures to address unauthorized access of client information for non-business purposes by bank employee - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-011/,#2015-011,"March 31, 2016",OPC,Canada,Financial Institutions,Safeguards,Access to personal information,Well-founded and conditionally resolved
Individual objects to request for information as condition of supply of service - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-094/,#2002-94,"December 2, 2002",OPC,Canada,Telecommunications,Collection,N/A,Not well-founded
"No evidence Facebook shares personal information with other sites via social plug-ins, investigation finds - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-006/,#2011-006,"April 4, 2012",OPC,Canada,Social Networking,Consent,Consent; Internet and online; Social Networking,Not well-founded
Former employee accuses employer of disclosing information about her work performance to co-workers - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-161/,#2003-161,"April 16, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Privacy at work,Not well-founded
Job Seeker Not Adequately Informed about Purpose of Personal Information Collection - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2012/pipeda-2012-003/,#2012-003,"June 5, 2012",OPC,Canada,Social Networking,Consent; Use and Disclosure,Consent; Internet and online,Well-founded and resolved
Responsibility of Canadian financial institutions in SWIFT's disclosure of personal information to US authorities considered - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-365/,#2007-365,"April 2, 2007",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Personal information transferred across borders; Privacy breaches,Not well-founded
Alleged disclosure of personal information without consent for secondary marketing purposes by a bank - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-082/,#2002-82,"October 16, 2002",OPC,Canada,Financial Institutions,Consent; Use and Disclosure,N/A,Not well-founded
Bank accused of providing police with surveillance photos of the wrong person - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-053/,#2002-53,"June 28, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,Public safety and law enforcement; Surveillance and monitoring,Well-founded
Gaps in Microsoft's Accountability Impede Response to Customer's Privacy Complaint - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-009/,#2014-009,"December 9, 2014",OPC,Canada,Services,Accountability,Consent; Internet and online,Well-founded and resolved
Bank accused of divulging personal banking affairs to customer's employer - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-030/,#2002-30,"January 8, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Privacy at work,Well-founded
Hotel revises privacy policy and consent form - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-316/,#2005-316,"August 31, 2005",OPC,Canada,Accommodations,Consent,Consent,Resolved
Store stops practice of posting pictures of suspected shoplifters - July 2015 - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2015/er_01_150709/,#2015-01,"February 1, 2016",OPC,Canada,Sales,Use and Disclosure,N/A,Early resolved
Excessive disclosures in the pursuit of a debt - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-282/,#2004-282,"November 4, 2004",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,
Company did not record phone conversation and give transcript to the police - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-227/,#2003-227,"November 4, 2003",OPC,Canada,Telecommunications,Collection; Use and Disclosure,Consent,Not well-founded
Disclosures to data brokers expose weaknesses in telecoms' safeguards - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-372/,#2007-372,"July 10, 2007",OPC,Canada,Telecommunications,Use and Disclosure,Consent; Identity theft; Privacy breaches,Well-founded and resolved
"Commissioner considers access, correction, and inappropriate disclosure allegations against insurance company - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-293/,#2005-293,"April 27, 2005",OPC,Canada,Health; Insurance,Access; Correction; Use and Disclosure,Access to personal information; Consent; Health/medical Information,Not well-founded
Telecommunications company agrees to seek consent to the recording of outgoing marketing calls - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-384/,#2007-384,"September 17, 2008",OPC,Canada,Telecommunications,Collection,Consent; Surveillance and monitoring,Well-founded and resolved
Employer agrees to revise language of consent form regarding exchange of health information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-364/,#2006-364,"February 23, 2007",OPC,Canada,Transportation,Collection,Consent; Health/medical Information; Privacy at work,Well-founded and resolved
"Auto dealership addresses customer’s concerns over safeguarding of his personal information - June 16, 2014 - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2014/er_006_140616/,#6,"November 21, 2014",OPC,Canada,Sales,Safeguards,Consent,Early resolved
Photographing of tenants' apartments without consent for insurance purposes  - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-349/,#2006-349,"November 9, 2006",OPC,Canada,Accommodations,Accountability; Collection,Consent,Well-founded
Beneficiary’s access to estate information is limited to his own personal information under PIPEDA - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-005/,#2013-005,"November 18, 2013",OPC,Canada,Professionals,Access,N/A,Well-founded and resolved
Investigation into the personal information handling practices of “Compu-Finder” (3510395 Canada Inc.) - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-003/,#2016-003,"May 27, 2016",OPC,Canada,Professionals,Consent,Consent,Well-founded and conditionally resolved
Manager’s remark reveals employee’s salary – consent was necessary despite existing public disclosure requirement - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2010/pipeda-2010-004/,#2010-004,"November 30, 2010",OPC,Canada,Telecommunications,Use and Disclosure,Consent; Privacy at work,Well-founded and resolved
Manager snoops on employee’s personal bank account after employee calls in sick - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2015/er_06_150522/,#2015-06,"March 23, 2018",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Early resolved
Wireless phone company improves safeguards for estranged spouses - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-329/,#2006-329,"July 19, 2006",OPC,Canada,Telecommunications,Safeguards; Use and Disclosure,N/A,Resolved
Credit bureau sets retention period for positive information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-326/,#2006-326,"May 12, 2006",OPC,Canada,Financial Institutions,Retention and Disposal,N/A,Resolved
Individual objects to agency's delayed response to request for credit history - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-102/,#2002-102,"December 19, 2002",OPC,Canada,Financial Institutions,Time Limit,Access to personal information,Resolved
Bank requires piece of identification before responding to request for access to personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-334/,#2006-334,"July 19, 2006",OPC,Canada,Financial Institutions,Time Limit,Access to personal information,Resolved
Bank agrees to modify automated message - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-270/,#2004-270,"June 21, 2004",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Resolved
Railway company withholds employee's personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-147/,#2003-147,"April 7, 2003",OPC,Canada,Transportation,Access,Access to personal information,Well-founded
New credit card customers required to consent to use or disclosure of personal information for secondary marketing purposes - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-238/,#2003-238,"December 4, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
"Call from unknown financial institution raises individual’s concern about the disclosure and use of his personal information - August 12, 2014 - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2014/er_007_140812/,#7,"November 21, 2014",OPC,Canada,Financial Institutions,Collection; Consent,N/A,Early resolved
ISP's anti-spam measures questioned - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-319/,#2005-319,"February 13, 2006",OPC,Canada,Telecommunications,Consent; Use and Disclosure,Consent; Internet and online; Spam,Not well-founded
Personal Information Collected in Company's Defence of Damage Claim Falls Under PIPEDA - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-003/,#2011-003,"November 4, 2011",OPC,Canada,Sales,Access; Collection,Access to personal information; Consent; Surveillance and monitoring,Well-founded and resolved
Mass mailout results in disclosure of contest entrants e-mail addresses - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-277/,#2004-277,"September 27, 2004",OPC,Canada,Telecommunications,Use and Disclosure,N/A,
"Agreement to an app’s “permissions” does not, by itself, equal consent to collect, use and disclose personal information - Google encouraged to provide users with greater clarity to avoid misperception - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-008/,#2014-008,"December 9, 2014",OPC,Canada,Mobile Applications,Collection,Consent; Internet and online,Not well-founded
Bank discloses customer's personal information to employer - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-267/,#2004-267,"June 16, 2004",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy at work,Well-founded
"Credit bureaus exceed time limits for access requests, but amend inaccurate information - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-187/,#2003-187,"July 10, 2003",OPC,Canada,Financial Institutions,Access; Correction,Access to personal information,Well-founded
Cellphone company meets conditions for opt-out consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-207/,#2003-207,"August 6, 2003",OPC,Canada,Telecommunications,Collection; Consent,Consent,Not well-founded
Estate executor disappointed in search for safety deposit box information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-016/,#2001-16,"October 12, 2001",OPC,Canada,Financial Institutions,Access; Retention and Disposal,Access to personal information,Well-founded
Individual accuses employer of disclosing personal information to co-workers - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-237/,#2003-237,"April 5, 2004",OPC,Canada,Transportation,Use and Disclosure,Consent; Health/medical Information; Privacy at work; Privacy breaches,Not well-founded
Misidentification and lack of access to personal information leads to mistaken four-year debt pursuit - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2015/er_04_150801/,#2015-04,"January 19, 2017",OPC,Canada,Financial Institutions,Correction,Access to personal information; Identity theft,Early resolved
Identification requirements for cell phone services - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-288/,#2005-288,"April 1, 2005",OPC,Canada,Telecommunications,Collection,Driver's licences; Social Insurance Number (SIN),Well-founded
Bank improperly discloses customer's personal information to ex-husband - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-175/,#2003-175,"May 12, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
Employer's policy and practices regarding the collection of personal medical information deemed appropriate - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-120/,#2003-120,"February 17, 2003",OPC,Canada,Telecommunications,Collection,Consent; Health/medical Information; Privacy at work,Not well-founded
Bank records customer call without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-215/,#2003-215,"August 26, 2003",OPC,Canada,Financial Institutions,Collection,Biometrics; Consent,Well-founded
